% Index	Latitude	Longitude	Country code	Subcontinental Zone code	Locality	Provider Name	Provider URL
1	-26.194878	134.29688	AU	OCE	australia	Amazon EC2	http://www.datacentermap.com/cloud/amazon-ec2.html
2	-26.194878	134.29688	AU	OCE	australia	dc two	http://www.datacentermap.com/cloud/dc-two.html
3	-26.194878	134.29688	AU	OCE	australia	Cloud Central	http://www.datacentermap.com/cloud/cloudcentral.html
4	-26.194878	134.29688	AU	OCE	australia	lc9	http://www.datacentermap.com/cloud/lc9.html
5	-26.194878	134.29688	AU	OCE	australia	openvz vps	http://www.datacentermap.com/cloud/openvz-vps.html
6	-26.194878	134.29688	AU	OCE	australia	digital sense hosting pty ltd	http://www.datacentermap.com/cloud/digital-sense-hosting-pty-ltd.html
7	-26.194878	134.29688	AU	OCE	australia	zettagrid	http://www.datacentermap.com/cloud/zettagrid.html
8	-26.194878	134.29688	AU	OCE	australia	logic plus	http://www.datacentermap.com/cloud/logic-plus.html
9	-26.194878	134.29688	AU	OCE	australia	enterprise cloud	http://www.datacentermap.com/cloud/enterprise-cloud.html
10	47.54687	13.337402	AT	EUW	austria	topcloud	http://www.datacentermap.com/cloud/topcloud.html
11	50.75036	4.669189	BE	EUW	belgium	housingcenter	http://www.datacentermap.com/cloud/housingcenter.html
12	50.75036	4.669189	BE	EUW	belgium	people _ technology	http://www.datacentermap.com/cloud/people-technology.html
13	50.75036	4.669189	BE	EUW	belgium	network research belgium nrb	http://www.datacentermap.com/cloud/network-research-belgium-nrb.html
14	50.75036	4.669189	BE	EUW	belgium	colt vcloud services	http://www.datacentermap.com/cloud/colt-vcloud-services.html
15	50.75036	4.669189	BE	EUW	belgium	Colt managed workspace	http://www.datacentermap.com/cloud/colt-managed-workspace.html
16	-14.235004	-51.92528	BR	SAE	brazil	alog corporate cloud	http://www.datacentermap.com/cloud/alog-corporate-cloud.html
17	-14.235004	-51.92528	BR	SAE	brazil	kinghost	http://www.datacentermap.com/cloud/kinghost.html
18	-14.235004	-51.92528	BR	SAE	brazil	enterprise cloud	http://www.datacentermap.com/cloud/enterprise-cloud.html
19	42.455887	25.202637	BG	EUE	bulgaria	rax cloud	http://www.datacentermap.com/cloud/rax-cloud.html
20	55.37911	-99.66797	CA	NAN	canada	ElasticHosts	http://www.datacentermap.com/cloud/elastichosts.html
21	55.37911	-99.66797	CA	NAN	canada	FlexCloud Servers	http://www.datacentermap.com/cloud/flexcloud-servers.html
22	55.37911	-99.66797	CA	NAN	canada	Shatter I.T.	http://www.datacentermap.com/cloud/shatter-it.html
23	55.37911	-99.66797	CA	NAN	canada	inerail	http://www.datacentermap.com/cloud/inerail.html
24	55.37911	-99.66797	CA	NAN	canada	LINKBYNET	http://www.datacentermap.com/cloud/linkbynet.html
25	55.37911	-99.66797	CA	NAN	canada	Netel NAXUS CLOUD	http://www.datacentermap.com/cloud/netel-naxus-cloud.html
26	55.37911	-99.66797	CA	NAN	canada	server cloud canada	http://www.datacentermap.com/cloud/server-cloud-canada.html
