% DataCenterMapID 	Latitude	Longitude	InfoType	MappedFlag	Area	Provider	Country code	Subcontinental Zone code	City ID	City name	City Latitude	City Longitude	Information URL
442	35.885277	14.496728	1	Yes	N/A	N/A	IT	EUW	2523083	Siracusa	37.08515	15.273	http://www.datacentermap.com/ajax/map.asp?id=442a1
440	29.92681	30.899628	1	Yes	N/A	N/A	EG	AFR	360995	Al Jizah	30.00808	31.21093	http://www.datacentermap.com/ajax/map.asp?id=440a1
441	35.8739	14.477947	1	Yes	N/A	N/A	IT	EUW	2523083	Siracusa	37.08515	15.273	http://www.datacentermap.com/ajax/map.asp?id=441a1
439	30.041546	31.207476	1	Yes	N/A	N/A	EG	AFR	360995	Al Jizah	30.00808	31.21093	http://www.datacentermap.com/ajax/map.asp?id=439a1
437	51.541855	0.002575	1	Yes	N/A	N/A	GB	EUW	2643741	City of London	51.51279	-0.09184	http://www.datacentermap.com/ajax/map.asp?id=437a1
438	30.288977	31.746626	1	Yes	N/A	N/A	EG	AFR	358840	Bilbays	30.42039	31.56223	http://www.datacentermap.com/ajax/map.asp?id=438a1
2582	44.40967	26.06889	2	Yes	N/A	N/A	RO	EUE	683506	Bucharest	44.43225	26.10626	http://www.datacentermap.com/ajax/map.asp?id=2582a1
435	51.271164	1.296773	1	Yes	N/A	N/A	GB	EUW	2637433	Southend-on-Sea	51.53782	0.71433	http://www.datacentermap.com/ajax/map.asp?id=435a1
2901	42.8554	13.574977	0	Yes	N/A	N/A	IT	EUW	3183089	Ancona	43.59816	13.51008	http://www.datacentermap.com/ajax/map.asp?id=2901a1
434	51.376656	-1.286473	1	Yes	N/A	N/A	GB	EUW	2639577	Reading	51.45625	-0.97113	http://www.datacentermap.com/ajax/map.asp?id=434a1
432	56.488434	10.021436	1	Yes	N/A	N/A	DK	EUW	2624652	Arhus	56.15674	10.21076	http://www.datacentermap.com/ajax/map.asp?id=432a1
444	60.212337	24.81174	0	Yes	N/A	N/A	FI	EUE	658225	Helsinki	60.16952	24.93545	http://www.datacentermap.com/ajax/map.asp?id=444a1
445	56.889313	24.23209	1	Yes	N/A	N/A	LV	EUE	456172	Riga	56.946	24.10589	http://www.datacentermap.com/ajax/map.asp?id=445a1
3693	49.360016	17.844543	0	Yes	N/A	N/A	CZ	EUW	3069011	Olomouc	49.59552	17.25175	http://www.datacentermap.com/ajax/map.asp?id=3693a1
446	56.956738	24.154531	1	Yes	N/A	N/A	LV	EUE	456172	Riga	56.946	24.10589	http://www.datacentermap.com/ajax/map.asp?id=446a1
447	56.952053	24.12542	0	Yes	N/A	N/A	LV	EUE	456172	Riga	56.946	24.10589	http://www.datacentermap.com/ajax/map.asp?id=447a1
448	52.392647	16.874834	1	Yes	N/A	N/A	PL	EUE	3088171	Poznan	52.40692	16.92993	http://www.datacentermap.com/ajax/map.asp?id=448a1
