% Index	Latitude	Longitude	Country code	Subcontinental Zone code	Locality	IXP Name	Provider URL
1	24.466667	54.36667	AE	ASC	Abu Dhabi	EMIX	http://www.datacentermap.com/ixp/emix.html
2	-22.738789	-47.331913	BR	SAE	Americana	PTT-AME	http://www.datacentermap.com/ixp/ptt-ame.html
3	52.366375	4.814758	NL	EUW	Amsterdam	AMS-IX	http://www.datacentermap.com/ixp/ams-ix.html
4	52.366375	4.814758	NL	EUW	Amsterdam	NL-ix	http://www.datacentermap.com/ixp/nl-ix.html
5	52.366375	4.814758	NL	EUW	Amsterdam	NetIX-AMS	http://www.datacentermap.com/ixp/netix-ams.html
6	39.039986	-77.490005	US	NAN	Ashburn	EQIX-ASH	http://www.datacentermap.com/ixp/eqix-ash.html
7	37.97918	23.716646	GR	EUE	Athens	GR-IX	http://www.datacentermap.com/ixp/gr-ix.html
8	33.776863	-84.39697	US	NAN	Atlanta	PAIX-ATL	http://www.datacentermap.com/ixp/paix-atl.html
9	33.776863	-84.39697	US	NAN	Atlanta	TIE-ATL	http://www.datacentermap.com/ixp/tie-atl.html
10	-36.824677	174.76501	NZ	OCE	Auckland	APE	http://www.datacentermap.com/ixp/ape.html
11	13.723419	100.476234	TH	ASP	Bangkok	PIE	http://www.datacentermap.com/ixp/pie.html
12	41.383507	2.156067	ES	EUW	Barcelona	CATNIX	http://www.datacentermap.com/ixp/catnix.html
13	-1.455021	-48.50237	BR	SAE	Belem	PTT-BEL	http://www.datacentermap.com/ixp/ptt-bel.html
14	44.802418	20.465601	RS	EUE	Belgrade	NetIX-BEL	http://www.datacentermap.com/ixp/netix-bel.html
15	-19.910824	-43.967285	BR	SAE	Belo Horizonte	PTT-MG	http://www.datacentermap.com/ixp/ptt-mg.html
16	52.521236	13.408813	DE	EUW	Berlin	BCIX	http://www.datacentermap.com/ixp/bcix.html
17	52.521236	13.408813	DE	EUW	Berlin	ECIX-BER	http://www.datacentermap.com/ixp/ecix-ber.html
18	4.638616	-74.09248	CO	SAW	Bogota	NAP-CO	http://www.datacentermap.com/ixp/nap-co.html
19	42.385937	-71.06094	US	NAN	Boston	BOSIX	http://www.datacentermap.com/ixp/bosix.html
20	-15.780148	-47.92917	BR	SAE	Brasilia	FIX	http://www.datacentermap.com/ixp/fix.html
21	-15.780148	-47.92917	BR	SAE	Brasilia	PTT-DF	http://www.datacentermap.com/ixp/ptt-df.html
22	48.15097	17.126999	SK	EUE	Bratislava	SIX-SK	http://www.datacentermap.com/ixp/six-sk.html
23	50.837166	4.364319	BE	EUW	Brussels	BNIX	http://www.datacentermap.com/ixp/bnix.html
24	50.837166	4.364319	BE	EUW	Brussels	FreeBIX	http://www.datacentermap.com/ixp/freebix.html
25	44.438683	26.093903	RO	EUE	Bucharest	BUHIX	http://www.datacentermap.com/ixp/buhix.html
26	44.438683	26.093903	RO	EUE	Bucharest	InterLAN	http://www.datacentermap.com/ixp/interlan.html
27	44.438683	26.093903	RO	EUE	Bucharest	RoNIX	http://www.datacentermap.com/ixp/ronix.html
28	44.438683	26.093903	RO	EUE	Bucharest	Balcan-IX	http://www.datacentermap.com/ixp/balcan-ix.html
29	44.438683	26.093903	RO	EUE	Bucharest	NetIX-BUC	http://www.datacentermap.com/ixp/netix-buc.html
30	47.49308	19.050293	HU	EUE	Budapest	BIX	http://www.datacentermap.com/ixp/bix.html
31	-34.615128	-58.422546	AR	SAE	Buenos Aires	NAP-Cabase	http://www.datacentermap.com/ixp/nap-cabase.html
32	30.0571	31.2272	EG	AFR	Cairo	CAIX	http://www.datacentermap.com/ixp/caix.html
33	-7.230718	-35.881664	BR	SAE	Campina Grande	PTT-CPV	http://www.datacentermap.com/ixp/ptt-cpv.html
